SPAWN		b5622f
PATH		ba6937
PARKING		c0c0c0
WALL		000000
BUILDING	bc8f8f

KRAKUS		80477e
TARAS-KRAKUS	80478e
NAWOJKA		80479e
OBIEZYSWIAT	2f2943
MENSA		2f2945


B-9		80471e
B-7 		80472e
B-5		80473e
D-5		80474e
D-6		80475e
DS-ALFA		80476e
D1		804790
CENTRUM-DYDAKTYKI (U2) 804791
H-A2		2f2920
H-A1		2f2921
GMACH-GL(A0)	2f2922
A2		2f2923
A1		2f2924
C1		2f2925
C2		2f2926
C3		2f2927
U-1 (BIBLIO)	2f2928

C-4		2f2929
C-6		2f2930
C-5		2f2931
A-4		2f2932
A-3		2f2933
H-B1B2		2f2934
H-B3B4		2f2935
B-1		2f2936
P-B1-B2		2f2937
B-2		2f2938
P-B2-B3		2f2939
B-3		2f2940
B-B3-B4		2f2941
B-4		2f2942
CENTRUM-E-LEARNIGNU	2f2944
D4		2f2946
PRZYCHODNIA	2f2947
B-8		2f2948
B-6		2f2949
H-B6		2f2950






